lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,no_of_adults,booking_status
12,1,139.0,10,7,4,3,0,0,1,1
13,0,65.0,2,17,2,1,0,0,1,1
215,0,90.95,10,3,3,3,1,0,2,1
103,0,107.55,7,11,4,3,1,0,2,1
66,1,62.18,3,19,4,2,2,3,2,1
15,1,113.5,12,4,4,2,2,0,2,1
113,0,90.0,11,11,3,1,0,0,2,1
1,0,75.0,1,8,4,1,0,3,1,1
126,0,118.8,9,8,4,3,0,3,2,0
51,1,129.0,11,1,4,3,0,0,2,1
193,0,120.0,6,20,3,2,1,0,2,0
0,0,65.0,12,29,3,3,1,0,1,1
173,1,365.0,7,25,3,2,1,1,2,0
10,0,111.0,4,7,4,3,0,0,2,0
279,0,110.0,10,12,4,3,0,0,2,0
8,0,83.0,11,4,4,1,0,0,2,1
81,0,119.85,5,14,4,2,2,0,2,0
37,0,76.5,10,23,3,1,0,0,2,1
17,1,82.0,12,18,3,2,2,0,3,1
69,1,90.95,3,20,4,3,2,0,2,1
1,0,158.0,9,22,4,1,0,0,1,1
86,2,198.9,5,22,4,3,2,1,3,1
17,0,65.0,12,9,2,1,0,0,1,1
38,0,187.0,11,4,4,2,0,0,2,1
1,0,168.5,7,6,4,4,0,0,2,1
1,0,79.0,11,14,2,1,0,0,1,1
88,1,90.0,10,7,2,2,0,0,2,1
17,0,166.0,7,9,4,1,1,0,2,0
100,0,100.0,9,28,3,4,0,0,2,0
48,1,60.0,1,17,3,3,2,0,2,1
81,0,80.75,10,22,3,2,2,0,2,1
89,0,80.75,10,8,3,2,2,0,2,0
76,0,89.75,8,30,3,4,0,0,2,1
12,0,38.67,3,17,3,3,0,0,2,1
4,2,99.5,11,22,4,2,0,0,1,1
168,0,85.0,4,22,3,2,1,0,2,0
275,0,110.0,4,17,3,0,2,1,2,0
16,0,90.0,1,18,4,1,1,0,1,1
29,2,94.5,9,15,4,2,0,0,2,1
91,0,85.5,6,26,4,0,1,3,2,0
112,1,76.5,8,7,4,2,2,0,2,0
95,1,121.5,5,21,4,1,1,0,1,0
41,1,117.9,3,31,4,3,0,0,2,1
7,2,116.73,12,27,4,5,1,0,2,1
28,0,101.8,4,17,4,2,2,0,2,0
28,2,81.1,2,6,4,1,2,0,1,1
97,1,94.5,11,20,4,0,2,0,2,1
44,1,74.8,11,16,4,4,1,3,2,1
79,2,109.8,12,9,4,2,1,0,2,1
1,0,91.2,9,20,4,1,2,3,2,1
13,1,87.0,2,18,3,3,0,0,2,1
147,1,174.0,3,24,4,3,0,0,2,1
37,0,85.5,9,16,4,2,0,0,1,1
0,0,80.0,2,19,2,1,0,0,1,1
3,0,6.0,9,19,4,2,2,0,1,1
9,3,127.0,6,23,4,1,0,0,3,1
1,1,41.0,1,21,2,1,0,0,1,1
47,0,85.5,4,18,4,1,1,3,2,0
3,0,81.0,2,14,4,0,2,3,2,1
2,1,76.12,11,27,4,5,4,0,1,0
71,0,126.5,10,22,3,1,1,1,1,1
231,1,115.2,6,8,4,4,0,0,2,0
1,0,0.0,10,20,1,2,0,0,2,1
291,0,115.0,8,19,3,2,0,1,2,0
9,1,131.0,4,27,4,3,0,0,2,1
83,0,82.45,3,12,4,4,2,0,2,1
163,0,140.4,9,19,4,3,1,0,2,0
6,1,133.0,9,26,3,0,1,0,3,1
0,0,88.0,11,26,2,1,0,0,1,1
152,1,62.0,2,20,3,1,2,0,2,1
0,2,168.3,8,20,4,1,0,0,3,1
127,1,101.13,7,26,4,6,2,0,2,1
1,1,135.0,5,11,4,1,0,0,1,1
38,1,199.3,8,31,4,3,0,0,3,1
98,0,75.0,12,21,3,4,0,0,2,1
274,2,107.0,8,9,4,3,0,0,2,0
87,1,136.8,11,18,4,2,0,1,2,1
31,1,81.9,3,14,4,1,1,0,2,1
256,1,115.0,6,15,3,2,0,1,2,0
33,0,59.0,1,25,2,1,1,0,1,1
9,1,85.0,12,18,4,1,0,3,2,1
57,2,130.2,11,11,4,2,1,1,2,1
88,2,120.8,7,13,4,4,1,0,2,1
27,2,124.0,9,18,4,2,0,0,2,1
12,0,95.0,4,19,4,1,0,0,1,1
197,0,110.43,12,29,4,4,0,0,2,1
4,1,2.0,3,23,4,1,0,0,2,1
7,1,119.5,8,20,4,3,1,0,2,0
2,0,80.0,1,29,4,1,0,0,1,1
55,1,74.8,11,11,4,5,2,3,2,0
62,0,116.1,5,19,4,1,0,3,1,1
8,0,64.4,3,9,3,2,0,0,1,1
134,1,146.7,8,12,4,2,1,0,3,1
263,0,0.0,9,21,4,0,1,0,1,1
47,1,81.9,3,13,4,1,2,0,2,1
79,2,137.7,7,19,4,2,0,0,3,1
5,0,94.0,11,2,2,2,0,0,1,0
3,0,106.0,5,13,2,1,0,0,1,1
0,0,0.0,9,18,1,0,2,0,1,1
76,0,51.09,2,11,4,3,1,3,2,1
68,1,118.8,4,26,4,2,0,0,2,1
27,0,136.0,9,19,3,0,1,0,3,0
6,1,109.75,9,7,4,3,1,0,2,1
386,0,90.0,10,23,4,0,2,1,1,0
75,0,157.6,4,14,4,3,0,0,2,0
70,0,115.6,5,9,3,2,1,0,3,1
76,2,72.25,11,19,4,3,0,0,2,1
0,2,201.0,3,23,4,2,0,0,2,1
90,0,108.3,6,26,4,4,2,0,2,1
10,1,186.0,8,5,4,2,0,0,2,1
105,0,72.25,8,26,3,4,2,0,2,0
63,0,65.66,2,18,4,3,2,0,2,0
65,1,89.25,10,14,4,4,0,0,2,1
85,0,126.9,6,20,4,2,1,0,2,0
3,0,119.0,4,28,4,1,0,3,1,1
16,1,88.8,3,3,4,3,1,0,2,1
377,1,115.0,10,14,4,2,0,1,2,0
56,2,119.7,7,3,4,3,2,0,2,1
6,0,58.0,12,6,3,2,2,0,2,1
33,0,69.5,2,4,4,3,0,0,2,1
39,1,94.5,4,24,4,0,1,3,2,1
43,1,104.4,11,1,4,3,0,0,2,0
290,0,86.7,12,1,4,3,1,0,2,0
31,0,103.05,8,28,4,0,2,3,2,1
5,0,254.0,3,27,4,3,2,1,2,0
14,0,100.0,10,15,3,1,0,0,1,1
82,2,129.59,6,9,4,3,0,0,3,1
25,1,78.54,9,14,4,3,1,0,2,1
50,1,118.8,10,4,4,3,0,0,2,1
4,1,99.0,4,2,4,1,0,3,2,1
161,0,59.5,10,31,3,3,1,3,2,1
156,0,108.66,8,31,4,3,0,0,0,0
140,1,105.3,5,29,4,1,2,0,2,1
40,0,70.0,10,5,3,1,1,0,2,1
3,0,100.0,8,22,2,1,1,0,2,1
63,1,63.75,3,10,4,3,1,3,2,1
43,1,149.4,7,12,4,2,0,0,2,1
53,1,67.5,12,25,4,1,0,3,2,1
11,1,0.0,12,11,1,2,0,0,2,1
4,1,76.22,2,7,4,2,2,0,1,1
65,1,125.1,9,27,4,3,0,3,1,1
247,1,0.0,6,6,4,0,0,1,2,1
42,1,80.3,2,3,4,3,0,0,2,1
28,1,149.4,8,24,4,2,0,0,2,0
11,1,0.0,12,11,1,2,0,0,2,1
1,0,159.0,8,2,2,1,0,0,1,1
107,0,120.0,6,10,3,2,0,0,1,1
26,0,65.0,7,11,2,0,1,0,1,1
209,1,98.1,10,5,4,3,0,3,2,0
178,2,132.25,7,23,4,4,2,1,2,0
258,1,88.83,10,29,4,2,2,0,2,1
64,1,105.3,7,26,4,3,0,0,2,1
27,0,65.0,11,22,2,1,2,0,1,1
35,1,118.8,4,24,4,0,2,0,2,1
56,0,113.4,6,8,4,2,0,0,2,0
210,0,88.7,5,2,4,1,1,0,2,0
2,0,75.0,10,27,2,1,0,0,1,1
110,2,155.72,12,16,4,3,2,0,2,1
0,1,120.0,10,10,4,0,1,0,1,1
103,2,186.0,11,7,4,3,1,0,1,1
156,0,122.4,12,27,4,3,0,0,3,1
27,3,104.5,12,27,3,1,2,1,2,1
0,1,104.72,10,15,4,1,0,0,2,1
147,0,151.2,10,7,4,2,1,0,3,1
151,0,71.0,1,19,3,2,0,0,1,1
5,0,123.5,4,24,4,2,2,0,2,1
67,0,76.5,7,20,4,8,3,0,2,0
130,0,87.55,4,19,3,4,0,0,2,1
83,1,84.9,4,4,4,2,1,0,2,1
1,0,99.0,4,18,4,0,1,3,2,1
117,2,126.31,5,22,4,3,2,0,2,1
24,0,135.0,5,22,4,0,2,0,1,0
25,2,145.0,9,25,4,0,2,0,2,1
14,0,87.12,5,31,4,3,0,0,1,1
126,1,83.12,5,15,4,2,2,0,2,1
100,0,91.5,4,27,4,3,0,3,2,0
50,1,108.0,10,17,4,0,1,3,2,1
72,0,76.5,7,8,4,4,1,0,2,1
5,3,124.5,9,3,4,2,0,3,2,1
1,1,138.5,8,15,3,1,2,1,3,1
47,1,198.68,10,25,3,4,2,1,2,1
209,1,96.3,10,21,4,3,2,0,2,1
69,1,72.9,3,12,4,1,1,0,2,0
6,2,120.0,10,20,4,2,0,0,1,1
66,0,150.45,5,1,4,2,2,0,3,1
92,0,99.45,4,11,4,5,1,0,2,0
43,0,126.9,5,9,4,2,1,0,2,0
29,0,104.73,3,4,4,2,1,0,2,0
24,2,96.9,12,7,4,4,0,0,2,1
38,2,148.95,4,27,4,4,0,0,3,1
26,0,65.0,7,11,2,0,1,0,1,1
13,0,119.2,9,20,4,1,0,0,2,1
53,1,116.1,5,30,4,2,1,3,2,1
16,1,135.0,3,9,4,3,0,1,2,1
35,0,125.1,7,25,4,0,1,3,2,0
177,1,130.05,8,3,4,4,1,0,3,0
128,1,118.8,10,11,4,3,0,0,2,0
34,0,152.1,7,29,4,1,0,0,2,1
103,0,126.9,6,11,4,1,1,0,2,0
232,0,75.65,12,24,3,3,2,3,3,1
38,0,198.9,5,16,4,3,1,0,2,0
12,2,129.25,10,31,4,3,1,0,2,1
18,1,86.0,2,20,4,1,1,0,1,1
4,2,147.33,12,28,4,3,0,0,2,1
164,0,100.0,10,2,3,1,0,0,1,1
155,0,105.3,7,25,4,1,1,0,2,0
265,0,109.0,6,24,3,2,0,1,2,0
288,0,67.26,12,22,4,5,2,0,2,0
192,2,114.75,8,4,4,3,1,0,2,0
146,1,103.5,7,13,4,3,0,3,2,1
54,0,65.0,10,5,2,0,1,0,1,1
67,1,71.74,4,2,4,2,2,0,2,1
43,1,0.0,10,17,4,0,0,0,2,1
117,0,90.95,10,24,3,2,1,0,2,1
24,2,130.78,10,26,4,5,2,0,2,1
10,2,149.0,9,19,4,1,1,0,1,1
230,0,158.95,8,25,4,3,1,0,2,0
15,1,148.0,9,20,4,1,0,0,2,1
5,0,0.0,10,19,4,2,1,0,1,1
48,1,138.6,12,23,4,2,1,0,2,1
6,0,73.15,11,16,4,3,1,3,1,1
53,0,80.2,2,27,4,4,2,0,2,1
89,0,126.9,5,7,4,1,1,0,2,0
22,0,97.6,8,31,4,2,0,0,1,1
38,1,97.75,6,26,4,2,2,0,1,1
45,0,109.49,6,18,4,1,1,0,1,0
14,0,116.49,6,9,4,3,0,0,0,1
276,0,95.67,9,22,3,3,0,0,1,1
2,1,67.0,5,11,2,1,0,0,1,1
2,0,64.08,3,28,4,0,1,3,2,1
4,2,65.0,10,24,2,2,1,0,1,1
158,2,83.5,10,30,4,2,2,0,0,0
13,0,235.94,10,7,4,3,2,0,2,0
3,1,65.0,4,11,2,0,1,0,1,1
7,0,56.0,3,2,3,2,0,0,1,1
0,0,108.8,5,10,3,3,0,0,1,1
9,0,55.0,3,2,2,2,0,0,1,0
3,0,0.0,6,24,4,0,0,0,2,1
77,2,132.3,10,7,4,2,1,0,2,1
101,0,187.85,6,1,4,4,0,0,2,0
5,1,118.0,3,14,4,1,1,0,2,1
158,1,97.75,7,7,4,3,1,3,2,0
6,3,91.0,11,13,4,2,2,0,2,1
11,1,163.63,11,8,4,4,0,0,1,1
130,1,109.8,8,24,4,2,0,0,2,1
3,0,181.0,3,21,4,1,1,0,2,1
23,2,159.0,9,15,4,3,0,0,2,1
15,0,79.0,2,12,4,2,0,3,2,0
0,0,0.0,9,22,1,1,0,0,2,1
28,0,90.51,9,3,3,5,2,0,2,1
53,1,168.3,8,6,4,1,0,0,2,1
59,1,75.0,11,14,3,2,1,0,2,1
26,0,75.0,10,17,3,1,2,0,2,1
21,1,139.0,7,5,4,5,0,3,2,1
1,0,103.0,3,8,4,2,0,0,2,1
33,1,98.3,2,6,4,1,1,0,2,1
29,0,89.93,3,4,4,2,1,0,2,1
11,0,107.0,10,10,3,1,1,0,2,1
55,2,207.0,10,18,4,5,1,0,2,1
75,1,97.33,4,15,4,2,2,0,2,0
174,0,70.0,10,10,4,1,1,0,2,0
64,2,83.61,12,25,4,2,2,0,2,1
216,0,80.75,8,30,3,2,0,0,2,1
10,2,102.33,9,7,4,2,1,3,2,1
70,2,130.05,4,10,4,3,2,0,3,1
198,3,159.3,9,22,4,3,0,0,3,1
161,1,87.13,7,16,4,2,2,3,2,1
40,1,118.0,12,31,3,3,0,0,2,1
27,1,135.0,2,27,4,1,1,0,3,1
17,0,100.38,12,8,4,3,1,0,2,1
31,1,120.42,10,24,4,2,2,0,3,1
99,0,118.8,10,8,4,2,2,0,2,0
173,1,73.37,6,19,4,2,2,0,2,1
30,0,110.8,4,6,4,3,0,0,2,1
71,0,107.1,6,26,4,3,2,0,2,0
44,0,100.0,10,28,3,2,0,0,2,1
12,2,130.0,8,28,4,0,2,0,2,1
6,1,136.0,10,4,4,1,2,0,2,1
103,0,70.03,4,17,4,2,2,0,2,1
1,0,115.0,9,27,2,1,0,0,2,1
30,3,198.9,6,18,4,1,2,0,2,1
63,0,105.3,7,23,4,5,2,0,2,0
80,1,93.6,11,19,4,1,2,0,2,1
93,2,149.1,9,1,4,3,0,0,2,0
17,0,95.0,10,30,3,1,0,0,1,1
42,1,144.9,8,14,4,2,2,0,2,1
169,1,0.0,7,9,4,2,2,0,3,1
386,1,115.0,10,23,4,0,2,1,2,0
1,0,117.8,5,18,3,1,0,0,1,1
0,0,149.0,5,9,4,0,1,0,3,1
15,0,80.0,1,26,2,2,0,0,1,1
91,0,140.4,5,13,4,2,1,0,2,0
32,2,94.5,10,6,4,3,0,0,2,1
77,0,129.6,7,7,4,3,1,0,2,0
69,1,135.9,9,5,4,3,1,0,2,1
61,1,72.24,10,26,3,1,1,0,2,1
9,3,0.0,11,11,1,2,0,0,3,1
346,0,3.0,9,13,4,2,0,1,1,0
23,1,68.07,11,24,4,3,2,0,2,1
172,1,90.95,9,18,3,1,2,0,2,1
153,2,105.3,8,1,4,0,1,0,2,0
45,0,81.0,9,12,3,1,1,0,1,1
191,0,132.0,6,3,4,2,1,0,2,0
172,1,137.7,8,11,4,3,0,0,3,0
18,1,95.48,3,17,4,1,0,0,2,1
50,2,159.3,6,3,4,2,0,0,3,1
7,1,65.0,12,27,2,2,0,0,1,1
36,1,125.1,3,23,4,4,2,0,2,0
0,0,0.0,12,14,1,1,0,3,1,1
5,0,124.0,7,28,4,2,0,3,2,0
0,1,129.83,8,27,4,2,2,0,2,1
102,0,150.3,8,24,4,4,0,0,3,0
109,1,159.3,6,21,4,2,0,0,3,1
40,0,139.5,10,5,4,2,0,0,2,0
149,2,119.0,8,3,4,4,2,0,2,1
0,2,122.0,8,27,4,1,0,0,2,1
0,0,85.0,2,24,4,1,0,3,1,1
68,0,106.75,9,3,3,3,2,1,2,1
35,0,67.5,2,11,4,3,0,3,2,0
0,0,155.33,8,31,4,2,1,0,2,1
39,3,64.67,11,13,4,5,2,0,2,1
63,0,107.1,4,2,4,1,1,0,2,1
142,0,109.8,6,26,4,1,2,0,2,1
40,1,83.9,3,5,4,2,2,0,2,1
47,0,135.0,10,11,4,2,0,0,2,1
59,0,60.0,11,19,3,3,0,0,2,1
8,0,108.57,5,10,4,2,0,0,1,0
158,2,76.5,8,7,4,5,2,0,2,1
117,1,72.25,7,27,3,4,1,0,2,1
28,2,139.0,10,10,4,1,1,0,2,1
0,0,75.0,12,21,4,0,1,3,2,1
39,0,65.0,11,27,2,2,2,0,1,1
72,0,97.54,7,27,4,1,0,0,0,1
14,2,86.85,7,22,4,2,0,0,2,1
7,1,103.0,3,7,4,3,1,0,2,1
44,1,95.0,4,23,3,1,2,0,2,1
4,0,124.0,7,28,4,2,0,3,2,0
92,0,100.0,3,26,3,1,2,0,2,0
16,1,134.8,6,27,4,0,1,0,2,1
7,1,78.0,11,30,4,2,0,3,1,0
50,0,241.59,5,14,4,4,2,0,2,0
42,0,72.0,11,4,3,2,0,0,2,1
29,1,87.0,3,5,3,1,2,0,2,1
3,1,87.01,6,22,4,2,0,3,2,1
67,1,76.16,3,26,3,1,2,0,2,1
33,1,140.4,4,29,4,2,2,0,2,1
79,1,90.95,3,24,4,3,1,0,2,0
147,2,103.7,7,1,4,2,2,0,2,1
256,1,115.0,6,15,3,1,0,1,2,0
51,1,102.7,6,2,4,2,0,0,2,1
85,0,75.0,10,6,3,3,1,0,1,1
23,2,89.0,9,11,4,0,2,3,2,1
96,1,72.25,11,28,4,1,0,0,2,0
4,2,91.5,11,19,4,1,1,3,2,1
19,0,191.0,8,14,4,1,2,0,3,0
22,2,139.0,9,15,4,2,0,3,1,1
31,1,134.1,9,11,4,2,1,0,2,1
2,0,62.8,12,5,3,1,1,0,2,1
4,0,121.6,8,20,4,1,0,0,2,0
0,1,75.0,12,11,2,1,0,0,2,1
285,1,95.4,7,21,4,3,0,0,2,0
117,0,94.5,8,1,3,1,2,1,2,0
49,1,112.2,4,10,4,2,2,0,2,1
25,0,70.0,12,14,3,0,1,0,2,1
3,0,79.2,8,17,2,5,1,0,2,0
75,0,65.0,12,9,2,2,0,0,1,1
14,2,116.49,6,9,4,3,0,0,0,1
5,1,110.0,5,24,2,2,0,0,2,1
0,0,0.0,12,2,1,2,0,0,2,1
3,0,66.0,2,25,2,1,0,0,1,1
39,0,72.2,2,28,4,2,2,3,2,1
9,1,140.0,10,27,4,3,2,0,2,1
70,0,40.67,1,15,3,2,1,0,2,1
174,1,99.45,8,13,4,2,2,0,2,1
214,1,90.95,8,9,4,5,2,0,2,1
12,3,89.25,11,13,4,5,2,0,2,1
124,0,96.56,8,7,3,3,2,0,2,1
145,0,72.5,8,29,3,1,2,1,1,1
22,0,129.0,3,21,4,1,1,3,2,0
36,0,71.0,1,19,3,2,0,0,1,1
0,1,90.0,8,6,4,1,0,3,2,1
4,2,211.0,4,9,4,1,0,0,2,1
10,2,145.0,10,3,4,1,1,0,1,1
2,1,79.0,1,21,4,1,0,0,1,1
183,1,98.25,7,4,4,3,1,3,2,0
45,0,85.5,6,18,3,1,1,0,2,1
8,1,110.46,6,30,4,3,0,0,2,1
63,1,89.25,10,10,4,1,1,0,2,1
66,1,58.0,2,11,3,2,0,0,2,1
19,1,66.57,2,13,4,1,2,0,2,1
41,1,71.52,2,22,4,2,1,0,2,1
0,0,116.45,6,28,2,1,0,0,2,1
21,0,70.0,12,10,3,2,0,0,2,1
7,0,106.0,2,12,4,2,0,0,2,0
119,0,137.7,7,26,4,3,0,0,3,1
17,1,166.0,7,8,4,2,0,0,2,0
42,1,115.8,3,24,4,3,0,3,2,1
6,1,80.0,2,20,4,1,0,3,2,1
157,0,94.5,8,3,4,1,0,3,2,0
22,0,58.0,12,25,3,2,0,0,2,1
242,1,58.36,12,27,4,5,2,0,2,0
6,0,152.0,11,24,4,1,0,1,2,1
13,0,75.0,1,20,4,8,2,0,1,1
46,2,122.4,11,2,4,4,0,0,3,1
27,2,130.0,2,22,4,2,1,0,3,1
11,1,133.5,3,26,4,2,2,0,2,1
0,0,63.2,11,30,4,2,0,0,2,1
18,1,131.0,8,20,4,1,0,0,1,1
3,1,161.7,9,22,4,1,0,0,1,1
206,1,130.5,9,8,4,3,0,0,2,0
45,2,94.5,10,20,4,1,0,0,1,1
231,2,81.82,8,1,4,7,3,0,2,0
63,1,105.3,7,23,4,1,0,0,2,1
120,0,126.9,6,10,4,2,1,0,2,0
1,1,127.0,6,27,4,0,1,3,2,1
171,1,106.13,7,20,4,5,2,0,2,0
53,0,94.5,9,18,3,0,2,0,2,1
32,1,105.0,7,18,3,1,1,0,2,1
31,2,112.59,9,8,4,2,0,3,2,1
46,5,68.07,11,18,4,3,2,0,2,1
176,0,150.45,9,1,4,3,1,0,3,0
33,1,80.3,2,8,4,0,1,0,2,1
198,0,90.0,9,9,3,2,1,0,2,0
47,2,93.6,12,17,4,2,2,0,2,1
13,2,119.0,6,9,4,1,0,0,2,1
1,1,120.0,3,10,4,1,0,0,2,1
76,0,105.3,3,24,4,3,0,0,2,0
137,1,145.2,8,13,4,4,2,0,3,1
12,1,85.0,9,11,3,0,1,0,1,1
186,0,89.25,8,16,4,4,0,3,2,0
117,0,66.14,3,2,4,1,0,0,1,1
144,0,80.1,10,28,4,2,1,3,2,0
68,1,108.38,4,24,4,2,2,0,0,0
2,1,119.0,6,15,2,1,0,0,1,1
1,0,108.0,9,4,3,1,0,1,2,1
6,2,121.75,10,31,4,3,1,0,1,1
3,0,75.0,8,10,3,1,1,0,1,1
22,1,72.64,2,26,4,2,1,0,2,1
9,2,148.0,8,14,4,1,2,3,2,1
257,0,90.95,7,31,4,2,2,0,2,0
27,2,106.02,10,5,4,4,1,0,2,1
60,1,65.0,10,12,3,3,1,0,2,1
2,1,91.68,12,23,4,4,2,0,3,1
54,1,88.4,12,24,4,2,2,0,2,1
63,0,116.1,6,17,4,2,0,3,2,0
50,0,101.15,3,28,4,3,1,0,2,0
125,1,71.0,4,18,3,2,1,0,2,1
40,2,148.28,10,15,4,2,2,0,2,1
1,2,117.5,12,19,4,2,1,0,2,1
1,0,85.0,2,4,4,3,2,0,1,1
207,0,161.67,12,30,3,2,1,0,2,1
21,2,124.0,9,21,4,1,1,0,2,1
1,1,111.65,9,22,4,3,0,0,1,1
10,1,83.0,11,6,4,2,0,3,2,1
33,2,82.9,3,5,4,1,2,0,1,1
28,2,160.3,10,4,4,5,0,0,2,0
7,1,92.0,2,27,4,1,0,0,2,1
35,1,73.9,2,9,4,4,0,0,1,1
109,0,152.1,8,24,4,4,0,0,3,0
19,2,129.0,9,25,4,0,1,3,2,1
12,0,93.0,2,23,4,2,0,0,2,1
40,0,72.9,2,16,4,1,0,0,1,0
13,0,66.0,2,1,3,3,1,0,2,1
16,0,84.0,3,5,4,1,1,3,2,0
181,0,120.0,10,11,3,2,0,0,1,0
42,0,113.6,3,20,4,2,2,0,2,0
35,0,67.49,9,14,4,5,2,0,2,1
43,1,130.0,11,11,4,2,0,0,2,1
12,1,99.0,10,30,4,3,2,3,2,0
8,2,134.75,9,1,3,3,0,1,2,1
179,0,85.5,8,26,4,2,1,3,2,0
58,0,75.0,11,16,3,3,0,0,2,1
112,1,72.25,7,7,3,3,2,0,2,1
100,0,0.0,9,28,4,4,0,1,1,1
39,1,67.5,2,13,4,1,2,3,2,1
6,0,75.0,11,1,3,3,0,0,1,1
1,1,0.0,10,13,1,1,0,0,1,1
135,1,79.72,5,9,4,4,1,0,2,0
13,1,88.4,12,14,4,4,0,0,2,1
147,0,78.76,7,18,4,5,1,0,2,0
110,0,153.0,7,9,4,3,2,1,2,0
70,0,186.3,4,20,4,1,0,0,2,0
59,1,96.99,5,28,4,5,2,0,2,1
86,0,127.8,4,20,4,2,0,0,2,0
109,0,159.9,10,29,4,1,2,0,2,0
50,0,131.4,11,11,4,2,0,1,2,0
239,0,112.2,6,15,3,2,0,1,2,0
81,0,119.07,10,10,4,3,1,0,1,0
30,0,157.5,4,14,4,2,0,1,2,0
19,0,85.0,10,2,3,0,2,0,2,1
170,1,85.0,7,19,4,4,0,3,2,1
190,0,109.3,5,6,4,2,2,0,2,0
24,1,60.06,11,20,4,0,1,3,1,1
76,1,131.26,5,12,4,3,1,0,2,1
0,1,0.0,9,5,1,2,1,0,1,1
105,0,96.3,4,17,4,1,2,0,2,1
31,0,117.9,4,2,4,1,0,0,2,0
73,0,91.36,4,29,4,2,1,0,2,1
219,1,106.25,12,22,4,3,2,1,2,1
1,0,91.0,2,13,4,1,1,0,2,1
268,0,95.4,10,1,4,1,1,3,2,0
0,0,141.0,3,24,4,1,0,0,2,1
9,0,129.33,4,6,4,3,0,0,2,1
2,1,129.0,5,13,4,1,0,3,2,1
8,1,40.0,9,13,2,1,0,0,1,1
157,1,90.0,3,19,4,3,2,0,2,1
1,0,70.0,8,11,2,1,0,0,1,1
95,0,132.3,10,20,4,3,0,0,2,0
3,1,97.0,6,23,4,1,0,3,2,1
0,1,110.0,9,28,2,1,0,0,1,1
92,0,92.65,11,23,3,4,1,0,3,1
7,1,120.0,10,25,4,1,0,3,2,1
271,1,101.33,9,21,4,3,0,0,2,0
100,0,73.95,3,17,4,3,1,0,2,1
52,0,56.16,12,17,4,1,2,3,1,1
59,0,81.0,1,28,3,1,0,0,1,1
308,0,52.0,11,25,3,2,0,0,2,0
119,0,264.1,7,11,4,0,1,1,2,0
282,0,76.67,10,10,3,1,2,0,2,1
11,1,76.29,11,27,4,2,2,3,2,0
30,2,140.88,11,4,4,2,2,0,2,1
95,0,132.6,5,20,4,2,2,0,2,1
32,3,96.3,11,14,4,1,0,0,2,1
101,2,80.75,5,17,3,3,0,0,2,1
195,0,71.22,12,2,4,2,0,0,0,0
0,0,130.0,10,16,4,0,2,3,2,1
36,2,126.9,5,21,4,2,2,0,2,1
10,0,110.0,5,29,2,5,3,0,1,1
165,0,150.45,9,2,4,3,2,0,3,0
31,0,85.0,10,27,3,3,1,0,2,1
8,1,129.0,10,20,4,3,0,0,1,1
0,0,96.0,10,5,3,0,1,0,1,1
19,1,134.0,9,17,4,1,1,3,2,0
4,2,230.0,5,4,4,2,0,0,2,1
2,0,72.1,2,26,3,2,0,0,1,1
76,3,146.8,11,19,4,1,1,1,2,1
11,0,83.58,1,2,4,1,2,0,2,1
48,0,94.5,10,23,4,2,2,0,2,1
15,1,105.0,11,19,4,1,0,0,2,1
7,1,112.0,5,21,3,1,1,1,2,1
26,1,116.85,9,5,4,4,2,0,2,0
93,1,71.4,7,12,4,5,2,3,2,1
16,1,151.0,6,30,4,5,2,0,2,1
99,0,85.5,3,24,4,3,0,3,2,1
129,0,132.3,10,10,4,5,1,0,2,0
256,0,76.67,9,14,3,2,1,0,2,1
2,1,89.0,5,11,2,1,0,0,1,1
188,0,105.3,8,13,4,1,1,0,2,0
11,0,122.13,10,8,4,1,2,0,2,1
4,0,0.0,12,23,1,2,1,0,2,1
12,0,104.0,5,11,3,4,0,0,2,1
230,0,137.0,9,6,3,5,0,1,2,0
9,1,69.5,1,13,4,12,4,3,2,1
1,1,111.35,5,30,4,3,1,0,2,1
29,1,85.59,4,24,4,0,2,0,2,1
222,1,80.75,10,12,3,4,0,0,2,1
102,1,99.0,7,8,4,6,2,3,2,1
36,0,91.0,10,13,3,3,0,1,1,1
66,1,144.45,10,24,4,1,1,0,3,1
16,0,135.0,10,7,4,1,0,3,2,0
149,0,92.03,7,28,3,3,0,0,2,1
2,0,77.5,1,13,4,2,0,0,1,1
355,0,87.31,12,26,4,5,2,0,2,0
20,0,146.2,9,24,4,2,2,0,3,0
3,0,106.0,2,16,4,4,0,0,2,0
151,1,120.7,7,6,4,4,1,0,2,0
217,0,80.75,8,13,4,2,2,3,2,0
6,1,180.0,8,7,4,2,2,0,2,1
166,0,110.0,11,1,4,3,0,0,1,0
0,0,111.2,9,14,3,0,1,0,2,1
39,0,67.0,7,25,2,0,1,0,1,1
183,1,93.08,8,24,4,4,0,0,2,0
6,0,130.0,10,29,3,1,0,0,1,1
0,0,116.45,6,16,3,3,2,0,2,1
103,2,187.25,11,7,4,3,1,0,1,1
41,0,85.67,3,13,2,1,2,0,2,1
75,1,140.4,5,3,4,2,0,0,2,0
128,1,140.7,8,4,4,3,0,0,3,1
36,0,0.0,12,8,4,0,0,0,2,1
